default_store_number,location_number,building_name,optima_name,gross_internal_area_square_feet,_retail_area_square_feet
287,6028799,Maldon Limebrook Way - Generic,Maldon Limebrook Way,49172,22098
288,6028899,Peterborough Lincoln Rd - Generic,Peterborough Lincoln Road,64844,29235
289,6028999,Skegness Wainfleet Rd - Generic,Skegness Wainfleet Road,50065,20150
290,6029099,Witham Braintree Rd - Generic,Witham Braintree Road,46820,20430
291,6029199,Aylesbury Station Way - Generic,Aylesbury Station Way,57834,30279
293,6029399,Canterbury Ten Perch Rd - Generic,Canterbury Ten Perch Road,66715,30343
294,6029499,Caterham Church Walk - Generic,Caterham Church Walk,42824,21391
295,6029599,Chatham Walderslade Princes Av - Generic,Chatham Princes Avenue,39863,20602
296,6029699,London Becontree Heath Wood Lane - Generic,Dagenham Wood Lane,43702,21764
297,6029799,Folkestone Cheriton Rd - Generic,Folkestone Cheriton Road,48287,24746
298,6029899,Gravesend Cold Harbour Rd - Generic,Gravesend Coldharbour Road,55811,34580
299,6029999,London Harrow Hatch End - Generic,Hatch End Uxbridge Road,55714,30171
300,6030099,High Wycombe Temple End - Generic,High Wycombe Temple End,54293,23766
301,6030199,Leighton Buzzard Lake St - Generic,Leighton Buzzard Lake St,49578,26078
302,6030299,London Acton King Street - Generic,London Acton,47555,23454
303,6030399,London Camden Town Chalk Farm Rd - Generic,London Camden Town,58212,25681
304,6030499,London Holloway Hertslet Rd - Generic,London Holloway,51494,24434
305,6030599,London Palmers Green Aldermans Hill - Generic,London Palmers Green,43389,22755
306,6030699,London Peckham Rye Lane - Generic,London Peckham,51538,28438
307,6030799,London Queensbury Honeypot Lane - Generic,London Queensbury,63529,30570
308,6030899,London Shepherds Bush - Generic,London Shepherds Bush,41129,19762
309,6030999,London Stratford The Grove - Generic,London Stratford,51860,28968
310,6031099,Streatham- Generic,Streatham,40616,15385
311,6031199,London Thamesmead Twin Tumps Way - Generic,London Thamesmead,85304,40687
313,6031399,London Wood Green High Rd - Generic,London Wood Green,57070,24842
314,6031499,Loughton High Rd - Generic,Loughton High Road,48427,22098
315,6031599,Maidstone Sutton Rd - Generic,Maidstone Sutton Road,67747,34615
316,6031699,London Sidcup Jenner Close - Generic,Sidcup Jenner Close,54928,22763
317,6031799,St Albans Hatfield Rd - Generic,St. Albans Hatfield Road,66252,28653
318,6031899,London Sutton 31 High St - Generic,Sutton Cheam Road,79269,32492
319,6031999,Welwyn Garden City Black Fan Rd - Generic,Welwyn G City Black Fan Road,57988,27430
320,6032099,Bath London Rd - Generic,Bath London Road,41193,19267
321,6032199,Bideford Kingsley Rd - Generic,Bideford Kingsley Road,56101,34314
322,6032299,Bodmin Priory Rd - Generic,Bodmin Priory Road,47996,21883
323,6032399,Bridgwater The BRdway - Generic,Bridgewater The Broadway,54677,27548
324,6032499,Bristol Fishponds Rd - Generic,Bristol Fishponds,61840,26980
325,6032599,Bude Stucley Rd - Generic,Bude Stuckley Road,50739,24096
326,6032699,Cheltenham Up Hatherley Caernarfon Rd - Generic,Cheltenham Up Hatherley,52743,25478
327,6032799,Glastonbury Street Rd - Generic,Glastonbury Street Road,40924,22689
328,6032899,Liskeard Plymouth Rd - Generic,Liskeard Horningtops,56797,26533
329,6032999,Newquay Treloggan Rd - Generic,Newquay Treloggan Road,56778,33627
330,6033099,Paignton Totnes Rd - Generic,Paignton Totnes Road,62510,31279
331,6033199,Penzance Longrock Eastern Way - Generic,Penzance Long Rock,49773,24767
332,6033299,Plymouth Outland Rd - Generic,Plymouth Outland Road,57495,27982
333,6033399,Plymstock Billacombe Rd - Generic,Plymstock Pomphlett Road,98318,44926
334,6033499,Redruth Agor Rd - Generic,Redruth Agar Road,49233,21451
335,6033599,Taunton Priory Bridge Rd - Generic,Taunton Priory Bridge,59739,24692
336,6033699,Tavistock Plymouth Rd - Generic,Tavistock Plymouth Road,45068,24197
337,6033799,Tewkesbury Ashchurch Rd - Generic,Tewkesbury Ashchurch Road,48900,22055
338,6033899,Tiverton Kennedy Way - Generic,Tiverton Kennedy Way,47231,25410
339,6033999,Totnes Coronation Rd - Generic,Totnes Coronation Road,48115,21689
340,6034099,Warminster Weymouth St - Generic,Warminster Weymouth Street,44380,20290
341,6034199,Weston Super Mare Summer Ln - Generic,Weston Super Mare Summer Lane,65057,31680
342,6034299,Wincanton Southgate Rd - Generic,Wincanton Aldermeads,47232,23497
343,6034399,Yate Station Rd - Generic,Yate Station Road,47403,28216
344,6034499,Yeovil Lysander Rd - Generic,Yeovil Lysander Road,54358,26447
345,6034599,Basingstoke Worthing Rd - Generic,Basingstoke Thorneycroft,74628,35501
346,6034699,Bracknell The Peel Centre - Generic,Bracknell The Peel Centre,42474,22841
347,6034799,Bridport West Bay Rd - Generic,Bridport Asker Meadows,50128,24714
348,6034899,Chippenham Cepen Park North - Generic,Chippenham Cepan Park North,71710,36345
349,6034999,Devizes Estcourt St - Generic,Devizes Estate Court Street,43927,21151
351,6035199,Farnborough Summit Avenue - Generic,Farnborough Southwood,45198,21614
352,6035299,Gosport Walpole Rd - Generic,Gosport Walpole Road,47038,20677
353,6035399,Hastings Queens Rd - Generic,Hastings Queens Road,53733,33523
354,6035499,Horndean Lakesmere Rd - Generic,Horndean Lakesmere Road,58324,30607
355,6035599,Newport (IOW) South Street - Generic,Newport IOW South Street,53507,28901
356,6035699,Oxted East Hill - Generic,Oxted Station Yard,54024,22216
358,6035899,Portsmouth Anchorage Pk - Generic,Portsmouth Anchorage Park,36220,18083
359,6035999,Reading Rose Kiln Way - Generic,Reading Basingstoke Lane,80051,39966
360,6036099,Reigate Bell St - Generic,Reigate Bell Street,51182,20796
361,6036199,Sandown Lake Newport Rd - Generic,Sandown Lake IOW,36629,16382
362,6036299,Seaford Dane Rd - Generic,Seaford Dane Road,37394,18524
363,6036399,Swindon Haydon Wick Thames Avenue - Generic,Swindon Haydon Wick,34778,20096
364,6036499,Totton Spruce Drive - Generic,Totton Hounsdown,64521,32309
366,6036699,Weymouth Dorchester Rd - Generic,Weymouth Dorchester Road,59694,31034
367,6036799,Woking Goldsworth Rd - Generic,Woking Goldsworth Road,65857,29457
374,6037499,Glasgow Crossmyloof Titwood Rd - Generic,Glasgow Crossmyloof,38750,18621
375,6037599,Glasgow Partick Merkland Court Generic,Glasgow Partick,31904,16189
379,6037999,Livingston Carmondean Ctre - Generic,Livingston Carmondean Centre,33551,15952
381,6038199,Morpeth Stanley Terrace - Generic,Morpeth Stanley Terrace,30957,15896
383,6038399,Manchester Chorlton Cum Hardy Wilbraham Rd - Generic,Chorlton CumHardy Wilbraham Rd,32840,16641
384,6038499,Kirkham Poulton St - Generic,Kirkham Poulton Street,30968,15403
387,6038799,Lutterworth Bitteswell Rd - Generic,Lutterworth Bitteswell Road,33260,16382
392,6039299,Congleton Princess St - Generic,Congleton Princess Street,36597,17502
393,6039399,Droitwich Spa Cover Croft Rd - Generic,Droitwich St Andrews Centre,29540,15249
395,6039599,Market Drayton Maer Rd - Generic,Market Drayton Adderley Road,35631,16084
397,6039799,Newtown Pool Rd - Generic,Newtown Pool Road,38143,20561
399,6039999,Solihull Shirley - Generic,Solihull Shirley,34137,17260
401,6040199,Wolverhampton Pendeford Blaydon Rd - Generic,Wolverhampton Pendeford,32267,15952
402,6040299,Herne Bay Beach St - Generic,Herne Bay Beach Street,30630,16502
410,6041099,London Stoke Newington Stamford Hill - Generic,London Stamford Hill,38506,21502
411,6041199,London Wimbledon - Generic,London Wimbledon,41467,17172
413,6041399,London Petts Wood Queensway - Generic,Petts Wood Queensway,35735,16373
418,6041899,Clevedon Triangle Ctre - Generic,Clevedon Triangle Centre,31058,14930
419,6041999,Leeds - Rothwell - Generic,LEEDS ROTHWELL (new),79894,36674
423,6042399,Blandford West Street - Generic,Blandford,29993,13627
424,6042499,Bognor Regis Bedford St - Generic,Bognor Regis Bedford Street,37517,17946
425,6042599,Holyhead - Generic,HOLYHEAD PENRHOS,64209,31929
